actual,prediction
55,45.63157894736842
39,45.63157894736842
55,45.63157894736842
34,45.63157894736842
34,45.63157894736842
54,45.63157894736842
52,45.63157894736842
54,45.63157894736842
34,45.63157894736842
55,45.63157894736842
17,26.0
34,30.833333333333332
47,45.63157894736842
73,73.0
29,44.0
73,73.0
28,45.63157894736842
48,45.63157894736842
73,73.0
45,45.0
65,45.63157894736842
45,45.63157894736842
48,45.63157894736842
56,45.63157894736842
39,45.63157894736842
2,9.0
11,9.0
54,45.63157894736842
52,45.63157894736842
39,45.63157894736842
39,30.833333333333332
48,45.63157894736842
48,45.63157894736842
48,45.63157894736842
39,45.63157894736842
35,45.63157894736842
56,45.63157894736842
33,45.63157894736842
55,45.63157894736842
55,45.4375
39,45.4375
55,45.4375
34,45.4375
34,45.4375
54,45.4375
52,45.4375
54,45.4375
34,45.4375
55,45.4375
17,25.2
34,30.285714285714285
47,45.4375
73,73.0
29,44.0
73,73.0
28,45.4375
48,45.4375
73,73.0
45,45.0
65,45.4375
45,45.4375
48,45.4375
56,45.4375
39,45.4375
2,9.0
11,9.0
54,45.4375
52,45.4375
39,45.4375
39,30.285714285714285
48,45.4375
48,45.4375
48,45.4375
39,45.4375
35,45.4375
56,45.4375
33,45.4375
55,45.4375
49,45.4375
28,30.285714285714285
49,45.4375
39,39.0
48,45.4375
33,45.4375
26,30.285714285714285
4,25.2
49,45.4375
61,45.4375
19,30.285714285714285
39,45.4375
55,45.4375
44,44.0
55,45.4375
55,45.4375
56,45.4375
7,9.0
55,44.0
28,45.4375
22,30.285714285714285
54,45.4375
5,9.0
33,45.4375
54,45.4375
24,24.0
18,9.0
9,25.2
54,45.4375
47,45.4375
55,45.4375
52,45.4375
33,45.4375
50,45.4375
65,45.4375
65,45.4375
39,45.4375
36,45.4375
29,30.285714285714285
25,24.0
13,9.0
33,45.4375
42,25.2
55,45.94444444444444
39,45.94444444444444
55,45.94444444444444
34,45.94444444444444
34,45.94444444444444
54,45.94444444444444
52,45.94444444444444
54,45.94444444444444
34,45.94444444444444
55,45.94444444444444
17,21.833333333333332
34,30.25
47,45.94444444444444
73,73.0
29,48.0
73,73.0
28,45.94444444444444
48,45.94444444444444
73,73.0
4,20.0
45,45.0
65,45.94444444444444
45,45.94444444444444
48,45.94444444444444
56,45.94444444444444
39,45.94444444444444
2,8.4
11,8.4
54,45.94444444444444
52,45.94444444444444
39,45.94444444444444
39,30.25
48,45.94444444444444
48,45.94444444444444
48,45.94444444444444
39,45.94444444444444
35,45.94444444444444
56,45.94444444444444
33,45.94444444444444
55,45.94444444444444
49,45.94444444444444
28,30.25
49,45.94444444444444
39,39.0
48,45.94444444444444
33,45.94444444444444
26,30.25
4,21.833333333333332
49,45.94444444444444
61,45.94444444444444
19,30.25
39,45.94444444444444
55,45.94444444444444
44,48.0
55,45.94444444444444
55,45.94444444444444
56,45.94444444444444
7,8.4
55,48.0
28,45.94444444444444
15,20.0
22,30.25
54,45.94444444444444
5,8.4
33,45.94444444444444
54,45.94444444444444
24,24.0
18,8.4
9,21.833333333333332
54,45.94444444444444
